Metric,Description,Score,Rationale
A1,property,7.5,Joint-stock structure with tradable shares and Dutch legal enforcement protected shareholder equity and corporate assets as a foundational innovation.
A2,market allocation,-0.5,"Amsterdam auctions used market pricing, but state-granted monopoly severely restricted open competition in Asian trade routes."
A3,profit motive,9.5,Charter explicitly prioritized shareholder dividends (often 18%+ annually in peak periods) through spice monopolies and global commerce.
B1,redistribution,0.0,"No systematic wealth leveling; profits flowed to shareholders and state, with minimal coercive redistribution beyond operational needs."
B2,welfare,-1.8,"Limited provisions for employees (e.g., hospitals in Batavia); high mortality and no broad welfare for colonial subjects or workforce."
C1,heredity fidelity,0.2,"Oligarchic regent families dominated Heeren XVII appointments via nepotism, though no formal hereditary offices existed."
C2,variation,4.2,Six semi-autonomous Chambers and regional Asian adaptations allowed operational flexibility within centralized charter constraints.
C3,persistence,6.2,"~197 years of continuous operation despite wars and crises, supported by repeated charter renewals and economic centrality to the Dutch Republic."
D1,parasitism,-7.2,"Coercive extraction via forced deliveries, monopoly pricing, and endemic private trade/corruption ('vergaan onder corruptie') drained resources from subjects and company alike."
D2,competition,2.5,"Violent rivalry with Portuguese, English, and Asian powers drove expansion, but internal monopoly suppressed Dutch competition."
E1,survival,5.5,"Naval power, forts, and debt issuance enabled persistence through Anglo-Dutch wars and financial strains until late decline."
E2,niche construction,7.5,"Built Batavia as hub, plantations (e.g., Banda nutmeg), shipyards, and trade networks, reshaping Asian-European commerce architecture."
F1,boundary,4.5,"Enforced strict trade monopolies, pass systems, and territorial exclusions via navy and treaties to protect rents."
F2,error repair,-1.3,"Periodic reforms and commissioner investigations occurred, but systemic corruption and accounting failures persisted uncorrected."
G1,cheater detection,-4.0,"Audits and penalties existed, but vast distances enabled widespread embezzlement and private trade by officials with weak oversight."
G2,modularity,5.2,"Federated Chambers and semi-independent Asian factories provided distributed resilience, limiting cascade failures."
G3,info storage,5.2,"Extensive dagregisters, manifests, and archives supported decision-making and corporate memory across global operations."
H1,cultural uniformity,-5.0,Imposed Dutch norms and Reformed Christianity in key settlements while pragmatically tolerating diversity for trade utility.
H2,ideological monopoly,-1.5,"Promoted Dutch Reformed dominance officially, but commercial pragmatism limited full ideological enforcement."
H3,dissent suppression,-7.2,"Military suppression of rebellions (e.g., Banda 1621), corporal punishments for employee dissent, and strict discipline maintained control."
I1,family autonomy,-0.5,European settlers had some domestic/property rights; colonial subjects and labor faced heavy restrictions.
I2,religious freedom,-3.8,Tolerated local faiths instrumentally in trade hubs; suppressed Catholicism and competing missions where conflicting with authority.
I3,artistic expression,2.0,Funded cartography and illustrations for commercial/prestige purposes; no heavy central censorship of cultural output.
J1,scientific direction,4.8,"Supported navigation, botany, and hydrography (e.g., Rumphius) where directly advancing trade efficiency."
J2,education indoctrination,-2.0,Limited schooling focused on clerks and Reformed conversion; reinforced Dutch norms without broad ideological programming.
J3,media control,-4.0,Regulated publications and maintained secrecy over charts/data to protect monopoly advantages.
K1,military priority,-4.0,Standing navy/army and high military spending (often outpacing trade revenue) secured territories and monopolies.
K2,isolationism,0.2,"Instrumental exclusion zones (e.g., pass system) protected rents; otherwise globally engaged via trade networks."
K3,external threat narrative,-2.0,Framed Iberian/English rivals as existential threats to justify charter privileges and military outlays.
L1,succession mechanism,3.8,Board rotation among Chambers prevented single-leader capture; oligarchic but stable compared to monarchies.
L2,leadership cult,1.0,Institutional/bureaucratic authority dominated; no strong charismatic cults around directors or governors.
L3,purge cycles,-2.0,"Occasional prosecutions or recalls for corruption; no systematic ideological purges, mostly performative."
M1,natalism,0.2,Pragmatic encouragement of burgher settlement for labor stability; no aggressive population-growth policy.
M2,migration control,-6.2,"Strict licensing, pass systems, and contractual labor regulated all movement in monopoly zones."
M3,ethnic policy,-7.8,"Enforced racial/legal hierarchies, participated in slave trade, and used violence (e.g., Banda massacre) to maintain dominance."
