# USSR 1917–1928 Seeding — Chapter 3.1 (extreme Zone 9 pull)
metric,score
A1 Private property rights,-10
A2 Market allocation vs planning,-10
A3 Profit motive & entrepreneurship,-10
B1 Progressive taxation & redistribution,+10
B2 Welfare state / universal services,+9
C1 Heredity fidelity,-9
C2 Heritable variation,-10
C3 Differential persistence,-9
D1 Host exploitation (parasitism),+9
D2 Resource competition,+8
E1 Individual survival until replication,-8
E2 Niche construction,+6
F1 Boundary maintenance,+10
F2 Error detection & repair,-10
G1 Cheater detection & suppression,+10
G2 Modularity,-8
G3 Info storage centralisation,+10
H1 Cultural uniformity enforcement,+10
H2 Ideological monopoly,+10
H3 Dissent suppression,+10
I1 Family autonomy,-10
I2 Religious freedom,-10
I3 Artistic expression control,+10
J1 Scientific direction by state,+10
J2 Education indoctrination,+10
J3 Media control,+10
K1 Military allocation priority,+9
K2 International isolationism,+8
K3 External threat narrative,+10
L1 Succession mechanism,-9
L2 Leadership cult,+10
L3 Purge cycles,+9
M1 Demographic policy (natalism),+8
M2 Migration control,+9
M3 Ethnic policy (Russification),+8
