Metric,Description,Score,Rationale
A1,Property rights,9.0,"Private key-based ownership remains the absolute standard for UTXO control; no central seizure mechanism exists in protocol design or 2015–2017 discussions (Bitcoin whitepaper; bitcoin-dev mailing list)."
A2,Market allocation,8.7,"Fee market for block space emerges as capacity limit binds; inclusion determined by price bidding (bitcoin-dev mailing list scaling discussions 2015–2017; CoinDesk fee market coverage)."
A3,Profit motive,8.5,"Mining rewards and transaction fees remain primary driver of participation and security (Bitcoin whitepaper; bitcointalk.org mining threads 2015–2017)."
B1,Redistribution,9.2,"No forced redistribution; voluntary transfers and donations dominant (Bitcoin whitepaper; bitcointalk.org 2015–2017)."
B2,Welfare,8.5,"No entitlements; voluntary community aid exists but not protocol-enforced (bitcointalk.org charity threads 2015–2017)."
C1,Heredity fidelity,8.3,"Ledger continuity preserved through backward-compatible soft forks like SegWit; no hard resets (BIP 141; bitcoin-dev mailing list)."
C2,Variation,5.2,"Competing scaling proposals introduce design variation; high friction limits diversity (BIP repository; r/bitcoin 2015–2017)."
C3,Persistence,6.8,"Network maintains uptime and hashrate growth through contentious period; medium-term viability signals visible (CoinDesk 2015–2017 coverage)."
D1,Exploitationism tolerance,3.2,"Fee market and mining concentration allow some extraction; debates on ASICBoost and miner advantages show limited tolerance (bitcoin-dev 2017)."
D2,Competition intensity,8.4,"Intense hash rate rivalry and ideological competition among scaling camps (CoinDesk scaling war coverage 2015–2017)."
E1,Survival pressure,5.8,"Scaling conflict, fork threats, and chain split risks create meaningful existential pressure (CoinTelegraph 2017)."
E2,Niche construction,6.3,"Layer 2 concepts and merchant/wallet expansion actively build utility (BIP 141; CoinDesk 2015–2017)."
F1,Boundary maintenance,8.0,"Consensus rules and node validation enforce strict boundaries; UASF movement reinforces cohesion (bitcointalk.org 2017)."
F2,Error repair,4.3,"SegWit addresses transaction malleability; bug fixes and BIPs show moderate repair capacity (BIP 141; bitcoin-dev 2015–2017)."
G1,Cheater detection,2.2,"Public ledger and manual audits detect issues; no automated high-fidelity detection in 2015–2017 (bitcoin-dev mailing list)."
G2,Modularity,5.3,"SegWit separates witness data; layered proposals show emerging modularity (BIP 141; BIP repository)."
G3,Info storage,9.1,"Distributed ledger replicated across global nodes remains highly durable (Bitcoin whitepaper; CoinDesk 2015–2017)."
H1,Cultural uniformity,3.3,"Scaling wars create two increasingly uniform factions but overall diversity persists (r/bitcoin 2015–2017)."
H2,Ideological monopoly,4.7,"'Decentralization first' becomes dominant among Core developers; competing visions remain visible (bitcoin-dev mailing list)."
H3,Dissent suppression,3.7,"Moderation controversies and censorship allegations in r/bitcoin and bitcointalk during scaling debate (CoinDesk 2016)."
I1,Family autonomy,0.0,"Insufficient 2015–2017 evidence; protocol does not interact with family structures."
I2,Religious freedom,0.0,"Insufficient 2015–2017 evidence."
I3,Artistic expression,0.3,"Minimal evidence; near-zero."
J1,Scientific direction,6.3,"Peer-reviewed BIPs and cryptographic research drive development (BIP repository; bitcoin-dev 2015–2017)."
J2,Education indoctrination,0.0,"Insufficient 2015–2017 evidence."
J3,Media control,2.7,"Coverage across independent outlets; some forum moderation influence (CoinDesk/CoinTelegraph 2015–2017)."
K1,Military priority,0.0,"Insufficient 2015–2017 evidence."
K2,Isolationism,-5.7,"Global permissionless access; no border controls (Bitcoin whitepaper; bitcointalk.org 2015–2017)."
K3,External threat narrative,3.7,"Concerns over regulation and attacks discussed but not dominant siege narrative (bitcointalk.org 2015–2017)."
L1,Succession mechanism,1.3,"Merit-based maintainer model; no formal succession (bitcoin-dev mailing list 2015–2017)."
L2,Leadership cult,0.3,"Process-centric; no strong founder worship by 2015–2017 (r/bitcoin 2015–2017)."
L3,Purge cycles,-5.3,"No formal purges; disagreements resolved through debate or exit (bitcoin-dev mailing list 2015–2017)."
M1,Natalism,0.0,"Insufficient 2015–2017 evidence."
M2,Migration control,-6.3,"Permissionless entry; open node joining (Bitcoin whitepaper; bitcointalk.org 2015–2017)."
M3,Ethnic policy,0.0,"Insufficient 2015–2017 evidence."
