Metric,Description,Score,Rationale
A1,Property,-1.25,"Private rights expanded but land state-owned; Party override capacity."
A2,Market allocation,1.25,"Socialist market economy with heavy state macro-control."
A3,Profit motive,5.5,"Incentivized post-1978 but subordinated to political goals."
B1,Redistribution,-5.0,"Fiscal transfers and Common Prosperity campaigns."
B2,Welfare,-4.5,"Expanded social insurance but hukou-fragmented."
C1,Heredity fidelity,3.25,"High CCP continuity but recent norm disruptions."
C2,Variation,3.0,"Early SEZs allowed variation; recent centralization reduced."
C3,Persistence,8.5,"Uninterrupted rule with adaptation through crises."
D1,Parasitism,-6.25,"Structural rent-seeking despite anti-corruption drives."
D2,Competition,2.0,"Intense in some sectors but protected monopolies."
E1,Survival,8.75,"High internal security and crisis response capacity."
E2,Niche construction,8.75,"BRI and supply-chain dominance reshape global networks."
F1,Boundary,2.0,"Great Firewall and hukou enforce strong boundaries."
F2,Error repair,1.75,"Centralized correction but feedback limited."
G1,Cheater detection,-4.25,"Advanced surveillance but selective/party-directed."
G2,Modularity,2.75,"Provincial autonomy reduced by centralization."
G3,Info storage,4.25,"Massive digital surveillance databases."
H1,Cultural uniformity,-8.0,"Aggressive Sinicization and Han-centric promotion."
H2,Ideological monopoly,-9.5,"Absolute CCP ideological leadership."
H3,Dissent suppression,-9.25,"Systemic censorship and detention documented."
I1,Family autonomy,-6.0,"Direct state regulation via birth policies/hukou."
I2,Religious freedom,-7.75,"Strict registration and Sinicization campaigns."
I3,Artistic expression,-7.0,"Content review and ideological alignment required."
J1,Scientific direction,2.75,"State-directed toward strategic priorities."
J2,Education indoctrination,-8.5,"Mandatory patriotic/Xi Thought curriculum."
J3,Media control,-9.5,"State-owned/monitored with Great Firewall."
K1,Military priority,-6.75,"Sustained PLA modernization priority."
K2,Isolationism,-1.5,"Global integration but informational isolation."
K3,External threat narrative,-6.5,"Century of Humiliation/containment framing."
L1,Succession mechanism,-0.75,"Term limits removed; personalized transitions."
L2,Leadership cult,-8.0,"Xi elevated with Thought enshrined."
L3,Purge cycles,-7.0,"Anti-corruption as purge mechanism."
M1,Natalism,-3.75,"Coercive shifts from one to three-child policy."
M2,Migration control,-4.75,"Hukou restricts internal access/services."
M3,Ethnic policy,-7.5,"Assimilation/Sinicization in border regions."
