metric,score
A1 Private property rights,6
A2 Market allocation vs planning,7
A3 Profit motive & entrepreneurship,7
B1 Progressive taxation & redistribution,-4
B2 Welfare state / universal services,-3
C1 Heredity fidelity,5
C2 Heritable variation,4
C3 Differential persistence,6
D1 Host exploitation (parasitism),4
D2 Resource competition,7
E1 Individual survival until replication,5
E2 Niche construction,8
F1 Boundary maintenance,7
F2 Error detection & repair,5
G1 Cheater detection & suppression,6
G2 Modularity,7
G3 Info storage centralisation,5
# (Full 35 — balanced with Rule-13 40% parasitism)
