Metric,Description,Score,Rationale
A1,Property rights,7.9,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
A2,Market allocation,7.2,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
A3,Profit motive,7.9,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
B1,Redistribution,7.8,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
B2,Welfare,6.3,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
C1,Heredity fidelity,6.9,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
C2,Variation,4.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 36.8%."
C3,Persistence,2.1,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
D1,Exploitationism tolerance,1.2,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 36.8%."
D2,Competition intensity,6.8,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
E1,Survival pressure,1.0,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
E2,Niche construction,2.7,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
F1,Boundary maintenance,6.3,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
F2,Error repair,-2.8,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 36.8%."
G1,Cheater detection,0.3,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 36.8%."
G2,Modularity,3.4,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
G3,Info storage,7.6,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
H1,Cultural uniformity,-0.8,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
H2,Ideological monopoly,-1.8,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
H3,Dissent suppression,-5.2,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 36.8%."
I1,Family autonomy,1.3,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
I2,Religious freedom,1.7,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
I3,Artistic expression,1.3,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
J1,Scientific direction,5.8,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
J2,Education indoctrination,-0.8,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
J3,Media control,-2.3,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
K1,Military priority,-7.0,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
K2,Isolationism,-4.7,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
K3,External threat narrative,-1.7,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
L1,Succession mechanism,-0.7,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
L2,Leadership cult,2.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 36.8%."
L3,Purge cycles,-6.7,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
M1,Natalism,0.0,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
M2,Migration control,-2.3,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
M3,Ethnic policy,-3.3,"MC mean-derived; adjusted under noise from 2009 genesis consensus."
