Metric,Description,Score,Rationale
A1,Property,7.0,"Consensus from models: strong constitutional protection with some erosions via forfeiture/eminent domain."
A2,Market allocation,5.5,"Deregulation waves but persistent interventions in key sectors."
A3,Profit motive,8.5,"Strong shareholder primacy and profit incentives in corporate framework."
B1,Redistribution,-5.0,"Progressive taxation and large entitlement programs expanded post-1971."
B2,Welfare,-5.0,"Extensive safety net via Medicaid, SNAP etc., though less centralized."
C1,Heredity fidelity,5.25,"Constitutional continuity with administrative drift noted."
C2,Variation,7.0,"Federalism enables significant state-level policy variation."
C3,Persistence,8.25,"High resilience through crises without rupture."
D1,Parasitism,-3.5,"Rent-seeking via lobbying/revolving door documented."
D2,Competition,7.0,"Robust but increasing concentration in some sectors."
E1,Survival,8.5,"Dollar reserve and alliances provide exceptional buffers."
E2,Niche construction,8.25,"Constructed global financial/neoliberal order."
F1,Boundary,4.5,"Strict legal borders but functional blurring via migration."
F2,Error repair,3.25,"Polarization slows legislative/fiscal correction."
G1,Cheater detection,1.0,"Regulatory bodies exist but enforcement asymmetrical."
G2,Modularity,7.0,"Federalism and separation of powers provide modularity."
G3,Info storage,8.0,"Extensive public records and archives."
H1,Cultural uniformity,-1.5,"Shift toward multiculturalism reduced uniformity."
H2,Ideological monopoly,-1.0,"Bipartisan dominance but growing heterodoxy."
H3,Dissent suppression,-1.5,"Legal protections but surveillance/platform pressures."
I1,Family autonomy,5.25,"High legal autonomy with economic pressures."
I2,Religious freedom,8.25,"Strong First Amendment protections."
I3,Artistic expression,8.25,"Leading exporter with market-driven freedom."
J1,Scientific direction,3.75,"Mixed private/public funding shapes priorities."
J2,Education indoctrination,-2.25,"Federal influence via funding but decentralized."
J3,Media control,-1.0,"Consolidation but no formal state control."
K1,Military priority,-6.5,"High defense spending and military-industrial complex."
K2,Isolationism,3.75,"Globalist architect with recent partial shifts."
K3,External threat narrative,-4.75,"Persistent threat narratives justify expenditures."
L1,Succession mechanism,8.75,"Peaceful electoral transfers with resilience."
L2,Leadership cult,0.0,"Media attention but institutional checks."
L3,Purge cycles,2.75,"Changes via elections, not violent purges."
M1,Natalism,-0.75,"No explicit policy; declining fertility offset by immigration."
M2,Migration control,0.75,"Complex system with frequent bypasses."
M3,Ethnic policy,-1.0,"Shift toward DEI frameworks."
