Metric,Description,Score,Rationale
A1,"Property rights strength & enforcement norms",0.0,
A2,"Market allocation vs. central planning dominance",0.0,
A3,"Profit motive & incentive alignment",0.0,
B1,"Redistribution scale & mechanisms",0.0,
B2,"Welfare universality, conditionality, & dependency",0.0,
C1,"Heredity fidelity (copying accuracy)",0.0,
C2,"Heritable variation bandwidth",0.0,
C3,"Persistence of variants under selection",0.0,
D1,"Parasitism tolerance / exploitation prevalence",0.0,
D2,"Competition intensity & zero-sum dynamics",0.0,
E1,"Individual survival probability until replication",0.0,
E2,"Niche construction & colonization capability",0.0,
F1,"Boundary maintenance & identity defense",0.0,
F2,"Error detection & repair efficiency",0.0,
G1,"Cheater detection mechanisms",0.0,
G2,"Modularity & hierarchical sub-unit stability",0.0,
G3,"Information storage separated from execution",0.0,
H1,"Cultural uniformity pressure",0.0,
H2,"Ideological monopoly strength",0.0,
H3,"Dissent suppression intensity",0.0,
I1,"Family autonomy & kinship structures",0.0,
I2,"Religious freedom & pluralism",0.0,
I3,"Artistic expression & creative liberty",0.0,
J1,"Scientific direction & funding independence",0.0,
J2,"Education system indoctrination level",0.0,
J3,"Media control & narrative monopoly",0.0,
K1,"Military priority & resource allocation",0.0,
K2,"Isolationism vs. openness",0.0,
K3,"External threat narrative dominance",0.0,
L1,"Succession mechanism predictability",0.0,
L2,"Leadership cult / personality centrality",0.0,
L3,"Purge cycles & elite turnover violence",0.0,
M1,"Natalism policies & fertility incentives",0.0,
M2,"Migration control strictness",0.0,
M3,"Ethnic / identity policy framing",0.0,
