Metric,Description,Score,Rationale
A1,Property rights,5.0,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
A2,Market allocation,5.8,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
A3,Profit motive,6.4,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
B1,Redistribution,2.1,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
B2,Welfare,1.6,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
C1,Heredity fidelity,4.1,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
C2,Variation,3.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 37.3%."
C3,Persistence,1.8,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
D1,Exploitationism tolerance,2.2,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 37.3%."
D2,Competition intensity,4.1,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
E1,Survival pressure,1.1,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
E2,Niche construction,4.0,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
F1,Boundary maintenance,3.0,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
F2,Error repair,-1.0,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 37.3%."
G1,Cheater detection,1.2,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 37.3%."
G2,Modularity,4.1,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
G3,Info storage,5.9,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
H1,Cultural uniformity,0.9,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
H2,Ideological monopoly,1.6,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
H3,Dissent suppression,0.2,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 37.3%."
I1,Family autonomy,1.0,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
I2,Religious freedom,1.0,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
I3,Artistic expression,1.0,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
J1,Scientific direction,2.4,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
J2,Education indoctrination,0.2,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
J3,Media control,0.6,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
K1,Military priority,-3.8,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
K2,Isolationism,-3.8,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
K3,External threat narrative,0.2,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
L1,Succession mechanism,1.5,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
L2,Leadership cult,2.8,"MC mean-derived; hinge perturbed to match ensemble mean fracture_meter 37.3%."
L3,Purge cycles,-1.2,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
M1,Natalism,0.0,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
M2,Migration control,-1.0,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
M3,Ethnic policy,-1.7,"MC mean-derived; adjusted under noise from 2020 Anchor consensus."
