Metric,Description,Score,Rationale
A1,Property rights,3.4,"Consensus leans low/neutral; strong private key control in wallet design noted in some runs, but majority cite insufficient 2020 evidence of enforcement or violations."
A2,Market allocation,4.5,"Arbitrage and swap pricing consistently highlighted as market-driven; scores cluster 0–9 with design intent dominant in higher runs."
A3,Profit motive,4.9,"Validator/staking incentives and seigniorage rewards noted; high variance (0–9) reflects sparse operational evidence vs. announcement focus."
B1,Redistribution,2.2,"Seigniorage/Community Pool mentioned as minor; most runs score low/zero due to insufficient operational evidence in 2020."
B2,Welfare,1.3,"Voluntary participation dominant; scores range 0–5 with high variance on Anchor interpretation."
C1,Heredity fidelity,3.3,"Tendermint/Cosmos continuity praised in higher runs; many zeros due to limited empirical proof in 2020."
C2,Variation,3.7,"Anchor/Mirror introductions add diversity in some runs; majority low due to early/sparse ecosystem."
C3,Persistence,2.8,"Uptime and upgrades noted; many zeros from insufficient multi-year evidence."
D1,Exploitationism tolerance,2.9,"Anchor yield incentives cited in higher runs; tight cluster around +4 in evidence-based scores, zeros where data absent."
D2,Competition intensity,3.9,"Validator staking competition present; scores 0–6 reflect early activity level."
E1,Survival pressure,1.3,"Low adoption/stress in 2020; consistent low/zero scores."
E2,Niche construction,4.1,"Chai/Anchor/Mirror push noted; moderate spread from announcement focus."
F1,Boundary maintenance,2.8,"Validator/governance rules noted; many zeros from insufficient evidence."
F2,Error repair,-3.1,"Shim 2 (G1 ≤0) triggers –5.0 in several runs; average pulled negative by outliers."
G1,Cheater detection,0.1,"Basic transparency/audits in some runs; majority zero from insufficient automated detection evidence."
G2,Modularity,3.7,"Cosmos SDK extensibility noted; consistent moderate/low scores."
G3,Info storage,4.7,"Distributed ledger emphasized; variance from evidence strength."
H1,Cultural uniformity,0.3,"Mostly insufficient; minor community alignment in some runs."
H2,Ideological monopoly,0.7,"Coherent stablecoin vision; low scores dominant."
H3,Dissent suppression,0.0,"No evidence of suppression; consistent zero."
I1,Family autonomy,1.0,"N/A or insufficient; low positive in some runs."
I2,Religious freedom,1.0,"N/A or insufficient; low positive in some runs."
I3,Artistic expression,1.0,"Mostly N/A; minor positive on open participation."
J1,Scientific direction,2.7,"Research-driven; low-moderate scores."
J2,Education indoctrination,0.2,"N/A or insufficient; near-zero."
J3,Media control,0.6,"Official channels prominent; low scores."
K1,Military priority,-3.8,"Non-applicable; negative tilt."
K2,Isolationism,-3.8,"Global/open design; consistent low/negative."
K3,External threat narrative,0.2,"Minimal; near-zero."
L1,Succession mechanism,1.5,"Early governance informal; low scores."
L2,Leadership cult,2.8,"Founder visibility noted; range 0–3."
L3,Purge cycles,-1.2,"No evidence; mostly zero with minor negative."
M1,Natalism,0.0,"N/A; all zero."
M2,Migration control,-1.0,"Permissionless; low/negative."
M3,Ethnic policy,-1.7,"Global; low/negative."
