Metric,Description,Score,Rationale
A1,Property rights,7.5,"MC mean-derived; strong smart-contract ownership model preserved under noise from genesis consensus."
A2,Market allocation,7.8,"MC mean-derived; gas/fee market allocation dominant, minimally perturbed."
A3,Profit motive,7.2,"MC mean-derived; validator/miner incentives robust at genesis."
B1,Redistribution,6.5,"MC mean-derived; no heavy protocol redistribution at genesis."
B2,Welfare,5.0,"MC mean-derived; limited built-in welfare mechanisms."
C1,Heredity fidelity,8.0,"MC mean-derived; chain immutability strong at genesis."
C2,Variation,5.5,"MC mean-derived; hinge perturbed downward to reflect noise-induced bandwidth stress matching ensemble mean fracture_meter ~38.4%."
C3,Persistence,7.5,"MC mean-derived; early chain survival high despite noise."
D1,Exploitationism tolerance,1.5,"MC mean-derived; hinge perturbed upward to match ensemble mean fracture_meter ~38.4% under early capture scenarios."
D2,Competition intensity,7.0,"MC mean-derived; validator competition robust at genesis."
E1,Survival pressure,2.0,"MC mean-derived; moderate pressure from early adoption risks."
E2,Niche construction,4.0,"MC mean-derived; dApp ecosystem emerging but stressed."
F1,Boundary maintenance,7.5,"MC mean-derived; consensus boundaries strong at genesis."
F2,Error repair,-1.0,"MC mean-derived; hinge perturbed to reflect governance friction matching ensemble mean fracture_meter ~38.4%."
G1,Cheater detection,0.5,"MC mean-derived; hinge heavily perturbed downward to match ensemble mean fracture_meter ~38.4% under noise."
G2,Modularity,5.0,"MC mean-derived; early L2/modular thinking present."
G3,Info storage,8.0,"MC mean-derived; blockchain ledger permanent at genesis."
H1,Cultural uniformity,-2.0,"MC mean-derived; decentralized community ethos."
H2,Ideological monopoly,-3.5,"MC mean-derived; no central ideology enforced."
H3,Dissent suppression,-7.0,"MC mean-derived; high fork/dissent tolerance."
I1,Family autonomy,2.5,"MC mean-derived; protocol neutral on personal spheres."
I2,Religious freedom,3.0,"MC mean-derived; neutral on expression."
I3,Artistic expression,2.5,"MC mean-derived; NFT precursors enable expression."
J1,Scientific direction,7.0,"MC mean-derived; open research community."
J2,Education indoctrination,-1.5,"MC mean-derived; no centralized control."
J3,Media control,-4.0,"MC mean-derived; decentralized narrative."
K1,Military priority,-8.5,"MC mean-derived; no military component."
K2,Isolationism,-6.0,"MC mean-derived; global by design."
K3,External threat narrative,-3.0,"MC mean-derived; regulatory risks present."
L1,Succession mechanism,1.5,"MC mean-derived; no formal leadership."
L2,Leadership cult,1.0,"MC mean-derived; minimal personality dominance."
L3,Purge cycles,-8.0,"MC mean-derived; no purge mechanisms."
M1,Natalism,0.0,"MC mean-derived; protocol neutral on demographics."
M2,Migration control,-3.5,"MC mean-derived; open participation."
M3,Ethnic policy,-4.5,"MC mean-derived; no ethnic gating."
