Metric,Description,Score,Rationale
A1,Property rights,-5.1,"Consensus negative; on-chain ownership exists but hyper-minting and peg failure massively dilute value during May–June 2022 depeg (explorer.terra.money supply spikes and peg deviation charts; CoinDesk/CoinTelegraph May 2022 coverage)."
A2,Market allocation,1.0,"Market pricing visible in arbitrage and trading, but LFG interventions and chain halts distort free allocation (CoinDesk May 2022 depeg reports; LFG BTC sales statements)."
A3,Profit motive,8.2,"High Anchor yields and arbitrage opportunities drive participation even in crisis (CoinDesk May 2022 Anchor coverage; on-chain volume spikes)."
B1,Redistribution,-2.8,"Minimal forced redistribution; voluntary exposure to market losses dominant in May–June 2022 (CoinTelegraph reporting on user exits)."
B2,Welfare,-2.5,"Anchor positioned as high-yield savings but collapses in practice; no universal support evident (CoinDesk May 2022 withdrawal coverage)."
C1,Heredity fidelity,-6.8,"Massive supply inflation and chain halt disrupt continuity of prior state (explorer.terra.money mint data May 2022)."
C2,Variation,4.0,"Some DeFi diversity in apps, but uniform failure mode dominates May–June 2022 (CoinDesk ecosystem reports)."
C3,Persistence,-8.8,"Extreme peg loss and hyperinflation indicate near-total loss of persistence (CoinDesk/CoinTelegraph May–June 2022 coverage)."
D1,Exploitationism tolerance,8.9,"Hyper-minting and peg defense enable massive extraction via arbitrage/redemptions without repair (explorer.terra.money mint/burn volumes; CoinDesk May 2022 reporting)."
D2,Competition intensity,6.5,"Vigorous arbitrage and exit competition visible in crisis (on-chain volumes May 2022)."
E1,Survival pressure,9.8,"Extreme existential filter via sustained depeg and hyperinflation (CoinDesk May 2022 peg coverage)."
E2,Niche construction,-1.5,"Prior expansion stalls; crisis responses fail to rebuild niche (LFG/Terraform statements May–June 2022)."
F1,Boundary maintenance,-1.8,"Weak cohesion under run pressure; porous to outflows (CoinDesk June 2022 migration reports)."
F2,Error repair,-6.2,"Lagged/ineffective peg defense and chain halts; multiple shim –5.0 pulls (LFG statements; CoinDesk May 2022)."
G1,Cheater detection,-5.5,"No clear automated detection of run/exploit cascade; majority low/negative from insufficient evidence (CoinDesk May 2022)."
G2,Modularity,-0.5,"Some app modularity but monolithic peg failure dominates (CoinTelegraph May 2022)."
G3,Info storage,4.8,"On-chain ledger remains durable despite crisis (explorer.terra.money June 2022)."
H1,Cultural uniformity,3.8,"Community alignment around recovery narrative in May–June 2022 (CoinDesk coverage)."
H2,Ideological monopoly,4.8,"Algorithmic stablecoin doctrine persists in messaging (Terraform statements May–June 2022)."
H3,Dissent suppression,2.8,"Some leadership pushback on critics; majority low/moderate (CoinTelegraph May 2022)."
I1,Family autonomy,0.0,"N/A or insufficient May–June 2022 evidence."
I2,Religious freedom,0.0,"N/A or insufficient May–June 2022 evidence."
I3,Artistic expression,0.5,"Minimal evidence; near-zero."
J1,Scientific direction,1.5,"Market-driven but protocol failure dominates (CoinDesk May–June 2022)."
J2,Education indoctrination,1.2,"N/A or insufficient; low."
J3,Media control,0.8,"Mixed independent coverage; low scores."
K1,Military priority,0.0,"N/A or insufficient May–June 2022 evidence."
K2,Isolationism,-2.5,"Open but crisis isolates liquidity (CoinDesk June 2022)."
K3,External threat narrative,4.5,"Some attack-blame framing in statements (LFG/Do Kwon May 2022)."
L1,Succession mechanism,0.8,"Informal/founder-centric; low scores."
L2,Leadership cult,7.5,"Founder centrality in crisis response (CoinDesk May–June 2022)."
L3,Purge cycles,0.3,"No clear evidence; near-zero."
M1,Natalism,0.0,"N/A or insufficient May–June 2022 evidence."
M2,Migration control,-2.0,"Mass outflows observed (CoinDesk June 2022)."
M3,Ethnic policy,0.0,"N/A or insufficient May–June 2022 evidence."
