Metric,Description,Score,Rationale
A1,Property rights,8.9,"Consensus high; private key control and cryptographic ownership strongly emphasized in whitepaper/yellow paper; minor variance from enforcement evidence in early Frontier operation (Ethereum whitepaper Dec 2014; yellow paper 2014)."
A2,Market allocation,8.4,"Gas market and transaction pricing via user-set gas prices and block gas limits allow free market clearing for resource allocation (yellow paper 2014; Frontier launch announcement July 30 2015)."
A3,Profit motive,7.6,"Mining rewards and transaction fees incentivize participation; Frontier launch confirms PoW mining for ether issuance (Ethereum whitepaper Dec 2014; Frontier announcement)."
B1,Redistribution,2.8,"Pre-mine allocation exists but no ongoing forced redistribution; thawing mechanism in protocol but minimal systemic redistribution (Frontier announcement; whitepaper)."
B2,Welfare,5.0,"No entitlement or welfare mechanisms in protocol design; voluntary transactions dominant (whitepaper/yellow paper)."
C1,Heredity fidelity,7.8,"Blockchain maintains immutable transaction history and state continuity from genesis (yellow paper; Frontier announcement)."
C2,Variation,7.8,"Permissionless contract deployment and diverse applications possible per whitepaper vision of Turing-complete platform (Ethereum whitepaper Dec 2014)."
C3,Persistence,5.2,"Designed for long-term state persistence via blockchain; early Frontier operation shows initial viability but unproven multi-generational (Frontier launch announcement)."
D1,Exploitationism tolerance,3.4,"Gas costs and economic disincentives limit but do not eliminate extraction; some concerns in early ethresear.ch but design caps at modest positive (yellow paper mechanics; ethresear.ch 2015)."
D2,Competition intensity,7.0,"Proof-of-work mining competition and dApp rivalry encouraged per Frontier launch (Frontier announcement)."
E1,Survival pressure,2.3,"Low adoption and minimal network stress in first months; few existential threats visible per 2015 Frontier operation (Frontier announcement)."
E2,Niche construction,5.3,"Platform enables active building of applications and ecosystems per whitepaper (Ethereum whitepaper Dec 2014)."
F1,Boundary maintenance,5.3,"Open permissionless network with identity via addresses per whitepaper (Ethereum whitepaper Dec 2014)."
F2,Error repair,2.8,"Bug bounty program ongoing and client implementations allow patches; audited design but limited live fixes pattern per March 2015 bounty update (bug bounty update March 20 2015)."
G1,Cheater detection,1.5,"Baseline via gas costs and PoW orphaning disincentives; no automated high-fidelity slashing per yellow paper (yellow paper 2014)."
G2,Modularity,7.0,"EVM as modular execution environment; contracts composable per whitepaper (Ethereum whitepaper Dec 2014)."
G3,Info storage,8.5,"Distributed blockchain storage durable and replicated per protocol design (yellow paper; Frontier announcement)."
H1,Cultural uniformity,-3.0,"Diverse developer community and open criticism visible in 2015 forums (ethresear.ch 2015)."
H2,Ideological monopoly,-3.0,"Pluralistic views on applications and use cases per whitepaper (Ethereum whitepaper Dec 2014)."
H3,Dissent suppression,-4.0,"Open discussion in ethresear.ch and blogs; no evidence of heavy censorship per 2015 record (ethresear.ch 2015)."
I1,Family autonomy,0.0,"Insufficient 2015 evidence; protocol unrelated."
I2,Religious freedom,0.0,"Insufficient 2015 evidence; protocol unrelated."
I3,Artistic expression,1.7,"Minimal evidence; near-zero (whitepaper potential for data storage)."
J1,Scientific direction,4.0,"Market and independent research drive protocol per ethresear.ch posts (ethresear.ch 2015)."
J2,Education indoctrination,0.0,"Insufficient 2015 evidence."
J3,Media control,-3.0,"Free press coverage in 2015 tech/crypto outlets."
K1,Military priority,0.0,"Insufficient 2015 evidence."
K2,Isolationism,-4.0,"Open global network per design (Frontier announcement)."
K3,External threat narrative,0.7,"Minimal; focus on technical challenges per Frontier announcement."
L1,Succession mechanism,-1.0,"No formal mechanism; foundation-led but merit-based development visible (Frontier announcement)."
L2,Leadership cult,3.0,"Vitalik Buterin prominent in announcements and whitepaper but countered by team/multiple clients (whitepaper; Frontier announcement)."
L3,Purge cycles,0.0,"Insufficient 2015 evidence."
M1,Natalism,0.0,"Insufficient 2015 evidence."
M2,Migration control,-5.0,"Permissionless entry per protocol (Frontier announcement)."
M3,Ethnic policy,0.0,"Insufficient 2015 evidence."
