Metric,Description,Score,Rationale
A1,Property rights,8.1,"Consensus high; private key/DeFi autonomy and on-chain ownership strongly emphasized across runs using 2021 docs, with minor variance from enforcement evidence."
A2,Market allocation,7.4,"Arbitrage, swaps, and algorithmic mint/burn consistently scored as market-driven; cluster 7–9 with design intent dominant."
A3,Profit motive,9.2,"Anchor ~19–20% APY and staking rewards primary ecosystem driver in 2021; tight high cluster 8.2–9.5."
B1,Redistribution,2.4,"Community Pool and voluntary yield flows noted; most runs low/negative due to limited forced redistribution evidence."
B2,Welfare,1.9,"Anchor yields positioned as voluntary savings; variance 0 to +8 reflects interpretation spread."
C1,Heredity fidelity,5.2,"Columbus-5 continuity and state preservation praised; moderate scores dominant."
C2,Variation,5.9,"Mirror/Anchor and multi-protocol diversity in higher runs; majority moderate."
C3,Persistence,4.0,"TVL growth and uptime signals in 2021; many mid-range from insufficient long-term proof."
D1,Exploitationism tolerance,7.6,"Anchor high APY + TVL scale + forum reserve depletion concerns without repair in 2021; tight cluster ~7.5–7.8."
D2,Competition intensity,7.1,"DeFi rivalry and validator competition noted; scores 5.5–8.5."
E1,Survival pressure,5.0,"Peg maintenance and capital competition pressure in 2021; consistent mid-range."
E2,Niche construction,7.8,"Anchor/Mirror/IBC expansion actively built niches; high scores dominant."
F1,Boundary maintenance,5.0,"Community identity and protocol rules in some runs; moderate spread."
F2,Error repair,-5.0,"Shim 2 (G1 ≤0) triggers –5.0 in all runs; average locked negative."
G1,Cheater detection,0.0,"Basic transparency/audits; consistent zero from insufficient automated detection evidence."
G2,Modularity,6.3,"Cosmos SDK and multi-protocol composability; moderate-high cluster."
G3,Info storage,8.0,"Distributed ledger durability emphasized; high scores dominant."
H1,Cultural uniformity,2.4,"Emerging 'LUNAtics' alignment in some runs; majority low/insufficient."
H2,Ideological monopoly,2.5,"Dominant 'decentralized money' narrative; low-moderate scores."
H3,Dissent suppression,2.5,"Leadership pushback noted in some runs; majority low/zero."
I1,Family autonomy,2.3,"N/A or low positive on voluntary participation; sparse evidence."
I2,Religious freedom,1.7,"N/A or insufficient; near-zero."
I3,Artistic expression,2.7,"NFT/DeFi creativity in some runs; majority low/insufficient."
J1,Scientific direction,4.5,"Market-driven R&D; low-moderate cluster."
J2,Education indoctrination,2.2,"Onboarding content in some runs; mostly low/insufficient."
J3,Media control,2.0,"Official channels prominent; low scores."
K1,Military priority,-4.0,"Non-applicable; negative tilt."
K2,Isolationism,-5.8,"Open cross-chain/global; consistent negative."
K3,External threat narrative,1.8,"SEC/legacy finance framing in some runs; majority low."
L1,Succession mechanism,2.3,"Governance proposals in some runs; low scores dominant."
L2,Leadership cult,6.4,"Do Kwon media centrality noted; range 4–8.5."
L3,Purge cycles,-1.5,"No evidence; mostly zero/minor negative."
M1,Natalism,0.0,"N/A; all zero."
M2,Migration control,-5.0,"Permissionless/open; consistent negative."
M3,Ethnic policy,-1.8,"Global; low/negative."
