Metric,Description,Score,Rationale
A1,Property Rights,-9,"Complete state ownership of means of production and land post-collectivization; private property abolished by 1937."
A2,Market Allocation,-9,"Gosplan central planning fully dictates allocation and prices; market mechanisms suppressed in 1937."
A3,Profit Motive,-8,"Profit motive criminalized as speculation; enterprises driven by quotas not efficiency."
B1,Redistribution,6,"State enforces high extraction from agriculture to industry; redistribution mediated through party loyalty."
B2,Welfare,3,"Nominal universal provisions exist but severely strained by famine aftermath and resource diversion."
C1,Heredity Fidelity,2,"Ideological transmission prioritized over biological heredity; elite privilege emerging but disrupted by purges."
C2,Variation,-9,"Extreme suppression of non-Bolshevik forms; minimal variation tolerated in 1937."
C3,Persistence,6,"High institutional inertia through CPSU and NKVD despite internal friction."
D1,Exploitationism,9,"Systemic surplus extraction via Gulag, forced quotas, and nomenklatura rent-seeking (CRL anchor)."
D2,Competition,-7,"Horizontal competition eliminated; vertical competition for favor weaponized."
E1,Survival,2,"Brittle survival amid purges and strain; capped by rigidity (CRL anchor)."
E2,Niche Construction,4,"Rapid industrial transformation (e.g., Magnitogorsk) at high human cost."
F1,Boundary Maintenance,9,"Strict internal passports and border controls; lethal enforcement against perceived threats."
F2,Error Repair,-8,"Feedback interpreted as sabotage; accurate reporting punished (CRL anchor)."
G1,Cheater Detection,-8,"NKVD quotas weaponize denunciation; genuine detection collapses (CRL anchor)."
G2,Modularity,-9,"Hyper-centralization; failures cascade without local buffering."
G3,Info Storage,5,"Extensive dossiers and archives; data heavily falsified for ideological compliance."
H1,Cultural Uniformity,9,"Socialist Realism mandated; cultural deviation labeled bourgeois formalism."
H2,Ideological Monopoly,10,"Marxism-Leninism-Stalinism absolute; all alternatives eliminated."
H3,Dissent Suppression,10,"Great Purge at peak; mass executions and arrests via NKVD."
I1,Family Autonomy,-6,"State intrudes via denunciation encouragement; family loyalty subordinated."
I2,Religious Freedom,-9,"Militant atheism campaigns; churches closed and clergy persecuted."
I3,Artistic Expression,-9,"Creative output must serve party line; non-conformity repressed."
J1,Scientific Direction,-6,"Science subordinated to state priorities; Lysenkoism emerging."
J2,Education Indoctrination,9,"Curriculum fully Marxist-Leninist; indoctrination from early ages."
J3,Media Control,10,"Complete state monopoly; Pravda/TASS as propaganda organs."
K1,Military Priority,9,"Heavy industry prioritizes defense; military buildup dominant."
K2,Isolationism,7,"High suspicion of foreign influence; autarky pursued."
K3,External Threat Narrative,9,"Capitalist encirclement narrative justifies terror and sacrifice."
L1,Succession Mechanism,-8,"No formal process; power in Stalin via rival elimination."
L2,Leadership Cult,10,"Stalin cult at maximum; infallibility embedded in culture."
L3,Purge Cycles,10,"Yezhovshchina at zenith; violent elite turnover routine."
M1,Natalism,5,"1936 decree bans abortion; pro-natal incentives for labor/military needs."
M2,Migration Control,9,"Internal passports restrict movement; peasants bound to collectives."
M3,Ethnic Policy,-5,"Shift toward Russification; early ethnic deportations beginning."
