Metric,Description,Score,Rationale
A1,Property rights,-4.8,"MC mean-derived (5000 runs); on-chain ownership dilution and hyper-minting dominate May–June 2022 collapse phase."
A2,Market allocation,0.9,"MC mean-derived; market pricing heavily distorted by LFG interventions and chain halts (CoinDesk May–June 2022)."
A3,Profit motive,7.9,"MC mean-derived; high arbitrage and yield opportunities persist even in crisis (Anchor coverage)."
B1,Redistribution,-2.7,"MC mean-derived; voluntary losses from run and depeg dominate (CoinTelegraph reporting)."
B2,Welfare,-2.4,"MC mean-derived; Anchor positioned as high-yield but fails catastrophically (CoinDesk May 2022)."
C1,Heredity fidelity,-6.5,"MC mean-derived; supply inflation and halts severely disrupt continuity (explorer.terra.money mint data)."
C2,Variation,3.9,"MC mean-derived; some DeFi diversity but uniform failure mode dominates (ecosystem reports)."
C3,Persistence,-8.5,"MC mean-derived; extreme peg loss and hyperinflation indicate near-total persistence failure."
D1,Exploitationism tolerance,8.7,"MC mean-derived; hyper-minting enables massive extraction without repair (mint/burn volumes)."
D2,Competition intensity,6.3,"MC mean-derived; vigorous arbitrage and exit competition in crisis (on-chain volumes)."
E1,Survival pressure,9.6,"MC mean-derived; existential filter via sustained depeg and hyperinflation."
E2,Niche construction,-1.4,"MC mean-derived; prior expansion stalls; crisis responses fail to rebuild."
F1,Boundary maintenance,-1.7,"MC mean-derived; weak cohesion under run pressure; porous outflows."
F2,Error repair,-6.0,"MC mean-derived; lagged/ineffective peg defense and chain halts (LFG statements)."
G1,Cheater detection,-5.3,"MC mean-derived; no clear automated detection of run/exploit cascade."
G2,Modularity,-0.4,"MC mean-derived; some app modularity but monolithic peg failure dominates."
G3,Info storage,4.6,"MC mean-derived; on-chain ledger remains durable despite crisis."
H1,Cultural uniformity,3.6,"MC mean-derived; community alignment around recovery narrative in crisis."
H2,Ideological monopoly,4.6,"MC mean-derived; algorithmic stablecoin doctrine persists in messaging."
H3,Dissent suppression,2.6,"MC mean-derived; some leadership pushback on critics; majority low/moderate."
I1,Family autonomy,0.0,"MC mean-derived; N/A or insufficient May–June 2022 evidence."
I2,Religious freedom,0.0,"MC mean-derived; N/A or insufficient May–June 2022 evidence."
I3,Artistic expression,0.4,"MC mean-derived; minimal evidence; near-zero."
J1,Scientific direction,1.4,"MC mean-derived; market-driven but protocol failure dominates."
J2,Education indoctrination,1.1,"MC mean-derived; N/A or insufficient; low."
J3,Media control,0.7,"MC mean-derived; mixed independent coverage; low scores."
K1,Military priority,0.0,"MC mean-derived; N/A or insufficient May–June 2022 evidence."
K2,Isolationism,-2.3,"MC mean-derived; open but crisis isolates liquidity."
K3,External threat narrative,4.3,"MC mean-derived; some attack-blame framing in statements."
L1,Succession mechanism,0.7,"MC mean-derived; informal/founder-centric; low scores."
L2,Leadership cult,7.3,"MC mean-derived; founder centrality in crisis response."
L3,Purge cycles,0.2,"MC mean-derived; no clear evidence; near-zero."
M1,Natalism,0.0,"MC mean-derived; N/A or insufficient May–June 2022 evidence."
M2,Migration control,-1.9,"MC mean-derived; mass outflows observed."
M3,Ethnic policy,0.0,"MC mean-derived; N/A or insufficient May–June 2022 evidence."
