Metric,Description,Score,Rationale
A1,Property,9.0,"Cryptographic ownership via accounts/SS58; DOT tokens secured across relay/parachains per Subscan 2026 data."
A2,Market allocation,8.0,"Parachain slots auctioned via crowdloans; market-driven allocation with DOT bonding."
A3,Profit motive,9.0,"Validators/nominators earn ~10% APR staking rewards; high participation via economic incentives."
B1,Redistribution,4.0,"Treasury redistributes via on-chain proposals/grants; community-driven but not aggressive."
B2,Welfare,5.0,"Staking yields as optional support; no universal protocol welfare."
C1,Heredity fidelity,10.0,"Consensus replicates states faithfully; forkless upgrades via runtime."
C2,Variation,8.0,"Substrate allows custom runtimes; forkless upgrades and parachain diversity."
C3,Persistence,10.0,"Relay chain persistent; parachains inherit security without downtime losses."
D1,Parasitism,-4.0,"Some relay dominance risks; low exploit rates in 2026 audits vs solo chains."
D2,Competition,8.0,"Parachains compete for slots; multiple runtimes/validators."
E1,Survival,9.0,"Shared security model; >500 validators; resilient to attacks."
E2,Niche construction,9.0,"Parachains create specialized niches (DeFi, identity, gaming)."
F1,Boundary,9.0,"Permissionless with economic bonds; clear chain boundaries via XCM."
F2,Error repair,7.0,"On-chain governance fixes; referenda for upgrades."
G1,Cheater detection,8.0,"NPoS slashing for misbehavior; economic bonds deter."
G2,Modularity,10.0,"High via substrate; independent parachain runtimes."
G3,Info storage,10.0,"Distributed across relay + parachains/nodes."
H1,Cultural uniformity,7.0,"Diverse ecosystem; no strict uniformity enforced."
H2,Ideological monopoly,8.0,"Multiple visions (Web3 Foundation vs enterprise); open governance."
H3,Dissent suppression,9.0,"Open referenda/discussions; no censorship."
I1,Family autonomy,8.0,"Self-sovereign identities via parachains."
I2,Religious freedom,9.0,"Free project diversity."
I3,Artistic expression,9.0,"NFT parachains flourish."
J1,Scientific direction,8.0,"Community research via fellowships."
J2,Education indoctrination,7.0,"Neutral resources; no indoctrination."
J3,Media control,9.0,"Decentralized channels."
K1,Military priority,4.0,"Security focus but not militarized."
K2,Isolationism,8.0,"Interoperable; not isolated."
K3,External threat narrative,3.0,"Minimal; focus on collaboration."
L1,Succession mechanism,9.0,"On-chain council elections/referenda."
L2,Leadership cult,9.0,"No cults; rotating governance."
L3,Purge cycles,10.0,"No purges; democratic."
M1,Natalism,0.0,"N/A; tokenomics not population-based."
M2,Migration control,10.0,"Open migration across chains."
M3,Ethnic policy,10.0,"Inclusive/pseudonymous."
