"Metric","Description","Score","Rationale"
"A1","Property rights",6.0,"Roman law strongly protected private property and contracts though confiscations occurred during proscriptions and civil wars."
"A2","Market allocation",5.0,"Markets operated across the Mediterranean with grain trade and tax farming largely private though the state intervened in grain supply."
"A3","Profit motive",7.3,"Elite wealth accumulation through landholdings trade and provincial extraction was socially accepted and politically influential."
"B1","Redistribution",-4.7,"Reforms such as the Gracchan land laws and later grain doles redistributed resources though not as a comprehensive welfare state."
"B2","Welfare",-4.3,"The annona grain dole provided subsidized grain to citizens of Rome but broader social welfare systems were limited."
"C1","Heredity fidelity",4.7,"Elite political families dominated offices through patronage networks though offices were not legally hereditary."
"C2","Variation allowance",5.0,"Political competition among populares and optimates allowed ideological variation though often destabilizing."
"C3","Persistence differential",5.7,"Successful generals and wealthy elites translated military and economic success into durable political power."
"D1","Parasitism tolerance",-4.7,"Corruption in provincial governance and tax farming was widespread despite periodic reforms."
"D2","Competition intensity",8.3,"Intense elite competition for offices and military commands culminated in repeated civil wars."
"E1","Survival until replication",6.0,"Despite crises the Republic endured centuries before transforming into the Principate under Augustus."
"E2","Niche construction",8.7,"Rome engineered imperial expansion through colonies roads and integration of provincial elites securing Mediterranean dominance."
"F1","Boundary maintenance",6.7,"Frontiers were defended by legions and alliances though late Republican civil wars weakened internal cohesion."
"F2","Error repair",-2.0,"Institutional reforms were attempted but often blocked leading to breakdown rather than stable adaptation."
"G1","Cheater detection",2.0,"Courts and senatorial oversight prosecuted corruption intermittently though enforcement was inconsistent."
"G2","Modularity",5.0,"Power was distributed among Senate assemblies magistrates and tribunes creating institutional complexity."
"G3","Info storage",5.7,"Roman legal codes archives and administrative records supported governance continuity across provinces."
"H1","Cultural uniformity",2.7,"Roman identity was strong but provincials retained local customs under imperial rule."
"H2","Ideological monopoly",0.3,"No single rigid state ideology dominated beyond civic religion and loyalty to Rome."
"H3","Dissent suppression",-5.0,"Political violence proscriptions and suppression of slave revolts demonstrated coercive limits on dissent."
"I1","Family autonomy",6.3,"Paterfamilias authority and private household governance were central features of Roman society."
"I2","Religious freedom",4.3,"Rome generally tolerated diverse cults provided they did not threaten public order."
"I3","Artistic expression",4.0,"Literature rhetoric and public art flourished though elite patronage shaped themes."
"J1","Scientific direction",2.3,"Scientific activity was practical and decentralized focused on engineering and military needs."
"J2","Education indoctrination",-1.3,"Education emphasized rhetoric and civic virtue but lacked centralized ideological control."
"J3","Media control",-1.0,"Political speech and pamphleteering were common though elites influenced public messaging."
"K1","Military priority",8.7,"Military command and expansion were central to political advancement and state survival."
"K2","Isolationism",-8.3,"Rome was expansionist integrating vast territories rather than isolating itself."
"K3","External threat narrative",6.3,"Threats from Carthage Gaul and later Parthia reinforced militarized politics."
"L1","Succession mechanism",-3.0,"Magistrates were elected annually but late Republican power increasingly relied on personal armies."
"L2","Leadership cult",-3.0,"Figures such as Julius Caesar accumulated personal loyalty and honors foreshadowing imperial cult practices."
"L3","Purge cycles",-7.7,"Proscriptions under Sulla and the Second Triumvirate institutionalized violent elite purges."
"M1","Natalism",1.3,"Marriage and family continuity were socially valued though major natalist laws emerged later under Augustus."
"M2","Migration control",2.7,"Citizenship policies regulated integration though Rome progressively expanded citizenship to allies and provincials."
"M3","Ethnic policy",4.7,"Rome integrated diverse peoples granting varying legal statuses rather than enforcing strict ethnic exclusion."
