Metric,Description,Score,Rationale
A1,Property rights,7.9,"Consensus high; private key control and cryptographic ownership emphasized across whitepaper and early forum discussions; minor variance from enforcement evidence."
A2,Market allocation,7.2,"P2P voluntary exchange and fee-based priority consistently market-driven in design; cluster 0–10 with whitepaper intent dominant."
A3,Profit motive,7.9,"Mining rewards and fees as core incentives in whitepaper; high cluster 7–10."
B1,Redistribution,7.8,"No forced redistribution; voluntary incentives dominant; scores cluster high."
B2,Welfare,6.3,"No entitlements; voluntary participation; range 0–10 with interpretation variance."
C1,Heredity fidelity,6.9,"Blockchain continuity from genesis praised; moderate-high scores."
C2,Variation,4.1,"Limited implementation diversity in 2009; scores low-moderate."
C3,Persistence,2.1,"Designed for longevity but unproven in first year; low scores dominant."
D1,Exploitationism tolerance,1.4,"Design limits extraction via honest majority assumption; tight low cluster."
D2,Competition intensity,6.8,"CPU proof-of-work competition in whitepaper; moderate-high scores."
E1,Survival pressure,1.0,"Low adoption/minimal threats in 2009; consistent low scores."
E2,Niche construction,2.7,"P2P cash niche described; low-moderate spread."
F1,Boundary maintenance,6.3,"Consensus rules enforce validity; moderate scores."
F2,Error repair,-2.9,"Shim 2 triggers –5.0 in several runs; average negative from outliers."
G1,Cheater detection,0.4,"Baseline cryptographic verification; majority zero/low from insufficient automated evidence."
G2,Modularity,3.4,"Some separation in architecture; low-moderate cluster."
G3,Info storage,7.6,"Distributed ledger durability emphasized; high scores dominant."
H1,Cultural uniformity,-0.8,"Mostly insufficient; minor cypherpunk lean in some runs."
H2,Ideological monopoly,-1.8,"No enforced doctrine; low scores dominant."
H3,Dissent suppression,-5.3,"Open forum discussion; negative cluster."
I1,Family autonomy,1.3,"N/A or low positive; sparse evidence."
I2,Religious freedom,1.7,"N/A or insufficient; near-zero."
I3,Artistic expression,1.3,"Mostly N/A; minor open participation positive."
J1,Scientific direction,5.8,"Independent cryptography research; moderate-high cluster."
J2,Education indoctrination,-0.8,"N/A or insufficient; near-zero."
J3,Media control,-2.3,"Open forums/mailing lists; low scores."
K1,Military priority,-7.0,"Non-applicable; negative tilt."
K2,Isolationism,-4.7,"Globally open; consistent low/negative."
K3,External threat narrative,-1.7,"Minimal; near-zero."
L1,Succession mechanism,-0.7,"Informal; low scores."
L2,Leadership cult,2.1,"Satoshi active but technical; range 0–4."
L3,Purge cycles,-6.7,"No evidence; negative cluster."
M1,Natalism,0.0,"N/A; all zero."
M2,Migration control,-2.3,"Open node participation; low/negative."
M3,Ethnic policy,-3.3,"Pseudonymous/global; low/negative."
