Metric,Description,Score,Rationale
A1,Property rights,8.7,"Consensus high; private key control and cryptographic ownership strongly emphasized in whitepaper/yellow paper and DeFi practices; absolute ownership via signatures with no central seizure mechanism in 2018–2021 protocol (Ethereum whitepaper; yellow paper; DeFi Pulse 2020 metrics)."
A2,Market allocation,8.8,"Gas price auctions and permissionless token exchanges allocate block space and liquidity through open bidding markets documented in CoinDesk articles (2018–2021) and DeFi Pulse metrics (2020)."
A3,Profit motive,9.1,"Profit incentives drive participation through trading, liquidity provision, and arbitrage across DeFi protocols during the 2020 DeFi expansion reported by Dune Analytics and DeFi Pulse."
B1,Redistribution,3.9,"Protocol-level redistribution minimal; voluntary liquidity pools and governance token distributions introduce some mechanics per EIPs and DeFi reports (2018–2021)."
B2,Welfare,5.1,"No systemic entitlement mechanism at protocol level; grants and ecosystem funding voluntary per Ethereum Foundation blog posts (2018–2021)."
C1,Heredity fidelity,7.6,"State replication and deterministic contract execution provide continuity through upgrades like Constantinople (Feb 2019) and Istanbul (Dec 2019) hard forks."
C2,Variation,7.8,"Diverse application layer including lending protocols, decentralized exchanges, NFTs, and rollup experiments per Layer 2 whitepapers and DeFi analytics (2018–2021)."
C3,Persistence,7.1,"Continuous operation through 2018–2021 period with growing node participation and ecosystem development reported in Ethereum Foundation blog posts."
D1,Exploitationism tolerance,5.9,"High gas fees and arbitrage opportunities during DeFi expansion indicate system allows significant economic extraction while functioning per CoinDesk coverage of gas price spikes (2020)."
D2,Competition intensity,8.2,"Multiple DeFi protocols compete for liquidity and users in open markets documented in DeFi Pulse statistics during 2020 DeFi expansion."
E1,Survival pressure,5.4,"Scaling stress and rising gas prices during DeFi expansion create operational pressure on network capacity per CoinDesk reports and Layer-2 whitepapers (2018–2021)."
E2,Niche construction,7.4,"Layer-2 rollup proposals and specialized application ecosystems expand Ethereum’s functional niches per Layer 2 whitepapers (Optimism, Arbitrum, zkSync, 2018–2021)."
F1,Boundary maintenance,6.8,"Consensus rules and node verification enforce shared state machine and transaction validity per Ethereum yellow paper (2014)."
F2,Error repair,4.1,"Network upgrades like Constantinople (Feb 2019) and Istanbul (Dec 2019) demonstrate periodic correction through community governance and EIP implementation."
G1,Cheater detection,2.1,"Transparency of on-chain transactions allows public monitoring and audits of smart contracts but automated detection limited per DeFi security discussions in CoinDesk coverage (2018–2021)."
G2,Modularity,7.4,"Smart contracts, token standards, and rollup architectures enable modular layers of functionality documented in EIP proposals (2018–2021) and Layer 2 whitepapers."
G3,Info storage,8.3,"Globally replicated ledger maintained by distributed nodes provides durable data storage per Ethereum yellow paper (2014)."
H1,Cultural uniformity,-3.7,"Ecosystem includes diverse developer communities, research forums, and independent projects discussed across ethresear.ch threads (2018–2021)."
H2,Ideological monopoly,-3.4,"Multiple scaling and governance perspectives coexist in public Ethereum research forums rather than a single doctrinal authority (ethresear.ch 2018–2021)."
H3,Dissent suppression,-3.1,"Public criticism of network scaling, fees, and DeFi risks appears openly in CoinDesk coverage and community discussions without systematic censorship (2018–2021)."
I1,Family autonomy,0.0,"Insufficient 2018-2021 evidence."
I2,Religious freedom,0.0,"Insufficient 2018-2021 evidence."
I3,Artistic expression,6.3,"Digital art markets and NFT experimentation appear during 2021 activity discussed in CoinTelegraph coverage of NFT platforms (2021)."
J1,Scientific direction,6.4,"Protocol research and development emerge from open academic-style collaboration on ethresear.ch and community proposals documented in EIPs (2018–2021)."
J2,Education indoctrination,0.0,"Insufficient 2018-2021 evidence."
J3,Media control,-3.9,"Coverage of Ethereum comes from numerous independent outlets such as CoinDesk and CoinTelegraph indicating pluralistic media narratives (2018–2021)."
K1,Military priority,0.0,"Insufficient 2018-2021 evidence."
K2,Isolationism,-6.9,"Ethereum interacts with global developer communities and other blockchains with interoperability discussions in CoinDesk articles (2019–2021)."
K3,External threat narrative,-2.4,"Competitive discussion with other blockchain platforms appears in media coverage but without persistent siege narrative (2018–2021)."
L1,Succession mechanism,0.3,"Leadership influence distributed among developers and researchers rather than hereditary structures per Ethereum governance discussions on ethresear.ch (2018–2021)."
L2,Leadership cult,3.1,"Public figures such as core researchers appear frequently in media interviews yet decision-making relies on open technical proposals (ethresear.ch 2018–2021)."
L3,Purge cycles,-5.4,"No recurring expulsions or systematic purges of participants within ecosystem discourse (2018–2021)."
M1,Natalism,0.0,"Insufficient 2018-2021 evidence."
M2,Migration control,-7.1,"Participation in network open globally through node operation or wallet usage per Ethereum whitepaper (2013)."
M3,Ethnic policy,-6.7,"Network access and governance participation show no ethnic or nationality restrictions per open protocol design."
