Metric,Description,Score,Rationale
A1,"Property rights strength & enforcement norms",-10.0,"No private property; resources collective via trophallaxis"
A2,"Market allocation vs. central planning dominance",-10.0,"Zero market; full central biological allocation"
A3,"Profit motive & incentive alignment",-10.0,"No profit; all incentives colony-level"
B1,"Redistribution scale & mechanisms",-10.0,"Complete redistribution via trophallaxis"
B2,"Welfare universality, conditionality, & dependency",-10.0,"Universal, unconditional within colony"
C1,"Heredity fidelity (copying accuracy)",-4.5,"High fidelity via queen monopoly; haplodiploidy"
C2,"Heritable variation bandwidth",-3.3,"Limited genetic variation; caste plasticity functional"
C3,"Persistence of variants under selection",1.0,"Colony persistence decades-centuries"
D1,"Parasitism tolerance / exploitation prevalence",-9.5,"Near-zero tolerance; worker policing"
D2,"Competition intensity & zero-sum dynamics",-8.0,"Minimal internal competition"
E1,"Individual survival probability until replication",-5.0,"Workers sterile; queen long-lived"
E2,"Niche construction & colonization capability",-4.8,"Persistent engineering (mounds, gardens, trails)"
F1,"Boundary maintenance & identity defense",-8.0,"Strong chemical boundaries; non-nestmate rejection"
F2,"Error detection & repair efficiency",-7.5,"Pheromone & behavioral error correction"
G1,"Cheater detection mechanisms",-9.5,"Hardware policing >95% efficient"
G2,"Modularity & hierarchical sub-unit stability",-6.0,"Caste modularity; queen apex"
G3,"Information storage separated from execution",-5.0,"Pheromones & genetics separate control"
H1,"Cultural uniformity pressure",-10.0,"Extreme via pheromones"
H2,"Ideological monopoly strength",-10.0,"Colony fitness as sole 'ideology'"
H3,"Dissent suppression intensity",-9.8,"Automatic ovarian suppression"
I1,"Family autonomy & kinship structures",-9.0,"Kin-selected; no individual family"
I2,"Religious freedom & pluralism",-10.0,"None; colony-level only"
I3,"Artistic expression & creative liberty",-10.0,"None; behavior hard-wired"
J1,"Scientific direction & funding independence",-10.0,"Instinct-driven only"
J2,"Education system indoctrination level",-10.0,"No education; innate behavior"
J3,"Media control & narrative monopoly",-10.0,"Pheromone 'media'"
K1,"Military priority & resource allocation",-6.0,"Soldier castes exist but low priority"
K2,"Isolationism vs. openness",-8.0,"Strong isolation via boundaries"
K3,"External threat narrative dominance",-7.0,"Threat detection innate"
L1,"Succession mechanism predictability",-15.0,"Queen death delta -10; baseline queen monopoly"
L2,"Leadership cult / personality centrality",-18.8,"Queen death delta -10; pheromone centrality"
L3,"Purge cycles & elite turnover violence",-7.3,"No purges; policing continuous"
M1,"Natalism policies & fertility incentives",-8.0,"Queen only reproduces"
M2,"Migration control strictness",-9.0,"Colony-bound; swarming rare"
M3,"Ethnic / identity policy framing",-10.0,"Chemical identity only"
