%%writefile examples/modern_north_korea.csv
metric,score
A1 Private property rights,-10
A2 Market allocation vs planning,-10
A3 Profit motive & entrepreneurship,-10
B1 Progressive taxation & redistribution,+10
B2 Welfare state / universal services,+9
C1 Heredity fidelity,-8
C2 Heritable variation,-9
C3 Differential persistence,-8
D1 Host exploitation (parasitism),9
D2 Resource competition,0
E1 Individual survival until replication,-7
E2 Niche construction,0
F1 Boundary maintenance,9
F2 Error detection & repair,-9
G1 Cheater detection & suppression,8
G2 Modularity,-7
G3 Info storage centralisation,9
H1 Cultural uniformity enforcement,0
H2 Ideological monopoly,0
H3 Dissent suppression,0
I1 Family autonomy,0
I2 Religious freedom,0
I3 Artistic expression control,0
J1 Scientific direction by state,0
J2 Education indoctrination,0
J3 Media control,0
K1 Military allocation priority,0
K2 International isolationism,0
K3 External threat narrative,0
L1 Succession mechanism,0
L2 Leadership cult,0
L3 Purge cycles,0
M1 Demographic policy (natalism),0
M2 Migration control,0
M3 Ethnic policy (Russification),0
