metric,score
A1 Private property rights,0
A2 Market allocation vs planning,0
A3 Profit motive & entrepreneurship,0
B1 Progressive taxation & redistribution,0
B2 Welfare state / universal services,0
C1 Heredity fidelity,10
C2 Heritable variation,5
C3 Differential persistence,9
D1 Host exploitation (parasitism),0
D2 Resource competition,7
E1 Individual survival until replication,10
E2 Niche construction,10
F1 Boundary maintenance,10
F2 Error detection & repair,8
G1 Cheater detection & suppression,8
G2 Modularity,10
G3 Info storage centralisation,9
H1 Cultural uniformity enforcement,0
H2 Ideological monopoly,0
H3 Dissent suppression,0
I1 Family autonomy,0
I2 Religious freedom,0
I3 Artistic expression control,0
J1 Scientific direction by state,0
J2 Education indoctrination,0
J3 Media control,0
K1 Military allocation priority,0
K2 International isolationism,0
K3 External threat narrative,0
L1 Succession mechanism,10
L2 Leadership cult,0
L3 Purge cycles,0
M1 Demographic policy (natalism),10
M2 Migration control,0
M3 Ethnic policy (Russification),0
