Metric,Description,Score,Rationale
A1,Property,10.0,"Absolute self-custody via private keys and UTXO model; no third-party seizure without key (whitepaper, protocol design)."
A2,Market allocation,10.0,"Transaction inclusion via open fee market; miners prioritize by fee-per-byte (mempool dynamics)."
A3,Profit motive,10.0,"Miners fully incentivized by block rewards and fees; rational self-interest secures network (Nakamoto 2008)."
B1,Redistribution,5.0,"No taxation/redistribution; halving distributes new coins to miners rule-based, not centrally planned."
B2,Welfare,5.0,"No protocol-level safety nets or recovery; full individual risk for loss/error."
C1,Heredity fidelity,9.0,"Immutable rules and longest-chain enforcement ensure near-perfect replication across nodes."
C2,Variation,5.0,"Slow evolution via high-consensus BIPs/soft forks (SegWit, Taproot); designed resistance to frequent change."
C3,Persistence,10.0,"99.98%+ uptime since 2009; survived bans, crashes, bugs via decentralized nodes."
D1,Parasitism,7.0,"High economic cost for attacks (>51% hashpower); some pool concentration noted but suppressed."
D2,Competition,10.0,"Global, permissionless mining race; difficulty adjustment maintains equilibrium."
E1,Survival,9.0,"Endured Mt. Gox, China ban, FTX, 80%+ drawdowns with uninterrupted protocol operation."
E2,Niche construction,9.0,"Catalyzed cryptocurrency class, Lightning, DeFi; reshaped fintech architecture."
F1,Boundary,9.0,"Strict cryptographic validation; nodes reject invalid blocks/transactions automatically."
F2,Error repair,7.0,"Nakamoto consensus resolves forks; bugs patched via coordinated upgrades (e.g., 2010 overflow)."
G1,Cheater detection,10.0,"PoW + full-node validation detects/suppresses invalid chains instantly and economically."
G2,Modularity,7.0,"Base layer monolithic; emerging modularity via Lightning, sidechains, layers."
G3,Info storage,9.0,"Append-only, replicated blockchain ledger across thousands of nodes."
H1,Cultural uniformity,6.0,"Convergence around sound money ethos; maximalism present but no enforcement."
H2,Ideological monopoly,7.0,"Strong focus on Austrian/censorship-resistance; alternatives marginalized socially."
H3,Dissent suppression,5.0,"Forks enable exit (e.g., BCH); social pressure exists but no forced suppression."
I1,Family autonomy,9.0,"No constraints; multi-sig enables family structures at user discretion."
I2,Religious freedom,10.0,"Protocol neutral; no belief/identity discrimination."
I3,Artistic expression,8.0,"Ordinals allow arbitrary data/art inscription; permissionless."
J1,Scientific direction,8.0,"Decentralized via BIPs, peer-reviewed crypto/game-theory research."
J2,Education indoctrination,8.0,"Voluntary resources; some directional advocacy but no compulsory doctrine."
J3,Media control,6.0,"Decentralized forums/social; influential outlets shape narratives but no central control."
K1,Military priority,6.0,"No military; energy framed as 'digital defense' in discourse."
K2,Isolationism,8.0,"Neutral/opt-in; resists legacy integration, parallel system."
K3,External threat narrative,7.0,"State debasement/attacks drive cohesion and upgrades."
L1,Succession mechanism,9.0,"Leaderless; succession via consensus and voluntary node choices."
L2,Leadership cult,3.0,"Satoshi mythology present; anonymity prevents active hierarchy."
L3,Purge cycles,6.0,"No formal purges; contentious forks expel views socially (Blocksize War)."
M1,Natalism,3.0,"Neutral; fixed supply unrelated to population policy."
M2,Migration control,10.0,"Borderless value transfer; opposes capital controls."
M3,Ethnic policy,10.0,"Pseudonymous, identity-blind; only cryptographic validity matters."
