Metric,Description,Score,Rationale
A1,Property Rights,8,"Strong Lockean property protections in state constitutions and federal design; contract clause and takings provisions central."
A2,Market Allocation,7,"Commerce Clause aimed at unified national market; state barriers reduced but local regulation persisted."
A3,Profit Motive,7,"Commercial republic ideology dominant; no federal restrictions on private enterprise or profit-seeking."
B1,Redistribution,-3,"No federal redistributive mechanisms; taxation limited to debt/defense, not welfare transfer."
B2,Welfare,-3,"Poor relief local/private; no national social provision mandate in constitutional text."
C1,Heredity Fidelity,4,"Republican continuity via elections; hereditary titles banned but propertied class continuity assumed."
C2,Variation,8,"Federalism preserved state-level experimentation; national framework allowed diverse legal structures."
C3,Persistence,7,"Amendment process and checks/balances designed for long-term institutional durability."
D1,Exploitationism,3,"Slavery embedded via three-fifths/fugitive slave clauses; structural parasitism present but limited among free population."
D2,Competition,8,"Separation of powers and federalism institutionalize competition among branches and states."
E1,Survival,6,"Designed to survive Confederation collapse and external threats via stronger central powers."
E2,Niche Construction,6,"Northwest Ordinance and commerce clause as templates for territorial/institutional expansion."
F1,Boundary Maintenance,5,"Federal authority over defense, commerce, and insurrections; boundaries consolidated but contested."
F2,Error Repair,7,"Checks/balances, amendment process, and separation of powers as error-correction mechanisms."
G1,Cheater Detection,7,"Impeachment, separation of powers, and rule of law as detection tools; untested at snapshot."
G2,Modularity,8,"Federalism provides high modularity; states as semi-independent units absorb local shocks."
G3,Info Storage,6,"Written Constitution, Federalist Papers, ratification records as stable institutional memory."
H1,Cultural Uniformity,0,"Broad Anglo-Protestant baseline but significant regional/sectarian variation tolerated."
H2,Ideological Monopoly,-5,"Republican ideology shared but Federalist/Anti-Federalist divide shows genuine pluralism."
H3,Dissent Suppression,-6,"Free speech/press emerging; Anti-Federalist debate published freely during ratification."
I1,Family Autonomy,6,"Family law reserved to states; limited federal intrusion into household structure."
I2,Religious Freedom,8,"No federal establishment; state protections strong, religious test ban in Article VI."
I3,Artistic Expression,5,"No federal censorship; press freedom norm robust in pamphlet culture."
J1,Scientific Direction,3,"No centralized direction; private/state initiatives dominant (e.g., Franklin)."
J2,Education Indoctrination,-3,"Education local/private; no national curriculum or indoctrination mandate."
J3,Media Control,-6,"Decentralized partisan press; no federal licensing or oversight."
K1,Military Priority,4,"National defense authorized but limited standing army; militia preference strong."
K2,Isolationism,5,"Neutrality instinct present; geographic isolation as strategic asset."
K3,External Threat Narrative,4,"Foreign threats invoked to justify union but not dominant domestic control narrative."
L1,Succession Mechanism,8,"Electoral College, fixed terms, constitutional succession designed for peaceful transfer."
L2,Leadership Cult,-7,"Strong anti-monarchical consensus; Washington as Cincinnatus archetype."
L3,Purge Cycles,-7,"No purge mechanisms; opposition factions treated as legitimate."
M1,Natalism,3,"High birth rates assumed beneficial; no formal federal policy."
M2,Migration Control,2,"Open internal migration; naturalization power minimal at snapshot."
M3,Ethnic Policy,1,"Structural racial hierarchy via slavery; no broad ethnic homogeneity mandate for free citizens."
