Metric,Description,Score,Rationale
A1,property,-10,"No individual property exists; all resources are communally held and allocated via trophallaxis and collective behaviors (Hölldobler & Wilson, 1990)."
A2,market allocation,-10,"Resource distribution occurs through pheromone-mediated coordination and division of labor, with no market exchange or price signals (Gordon, 2010)."
A3,profit motive,-10,"Activities serve colony-level inclusive fitness via kin selection; no individual profit or reproductive gain for sterile workers (Hamilton, 1964)."
B1,redistribution,-10,"Food and nutrients are fully redistributed colony-wide through trophallaxis, independent of individual contribution."
B2,welfare,-9.8,"Colony mechanisms support all members, including brood, injured workers, and queens, via kin-selected provisioning."
C1,heredity fidelity,-4.5,"Queen monopoly and haplodiploidy ensure high relatedness (r≈0.75 among sisters), though some raters emphasize positive clonal fidelity."
C2,variation,-3.3,"Genetic variation is limited by single-queen mating in many species; phenotypic plasticity in castes provides moderate functional diversity."
C3,persistence,1.0,"Colony-level persistence spans decades to centuries through superorganism stability and continuous brood production."
D1,parasitism,-8.5,"Intra-colony parasitism (e.g., worker-laid eggs) is strongly suppressed via worker policing and chemical cues; efficiency >95% in many systems."
D2,competition,-3.5,"Inter-colony competition is intense for territory/resources, but intra-colony competition is minimized by high relatedness."
E1,survival,-5.0,"Colony survival is prioritized over individuals via collective defense, resource storage, and immune function."
E2,niche construction,-4.8,"Colonies engineer nests, trails, and fungal gardens to modify environments for long-term stability."
F1,boundary,-9.5,"Cuticular hydrocarbons enforce strict nestmate recognition; non-nestmates are aggressively excluded."
F2,error repair,-8.8,"Hygienic behaviors, recruitment cascades, and pheromone overrides repair damage and restore homeostasis."
G1,cheater detection,-9.5,"Worker policing, oophagy, and chemical detection suppress reproductive cheats with high efficiency."
G2,modularity,-6.5,"Caste-based division of labor and task plasticity create functional modules resilient to localized loss."
G3,info storage,-8.3,"Pheromone trails, nest architecture, and collective memory store colony-level environmental information."
H1,cultural uniformity,-10,"Behavioral uniformity is enforced by chemical and genetic mechanisms with near-zero deviation."
H2,ideological monopoly,-10,"Queen pheromones suppress alternative reproductive or organizational signals colony-wide."
H3,dissent suppression,-9.8,"Unauthorized reproduction or deviant behavior is immediately policed and eliminated."
I1,family autonomy,-10,"No independent family units exist; all workers are integrated into the colony superorganism."
I2,religious freedom,-10,"No analogs to variation in signaling or ritual; behaviors are rigidly constrained."
I3,artistic expression,-10,"All behaviors and constructions are functional/adaptive with no individual expressive variation."
J1,scientific direction,-9.8,"Exploration and problem-solving are collective and fitness-aligned, with no individual direction."
J2,education indoctrination,-9.8,"Young workers acquire task knowledge through chemical priming and social transmission."
J3,media control,-10,"Communication is monopoly-controlled via colony-specific pheromones and tactile signals."
K1,military priority,-5.0,"Defense is prioritized with soldier castes and mobilization, though allocation shifts with needs."
K2,isolationism,-8.0,"Colonies maintain strict territoriality and xenophobia, with rare exceptions in supercolonies."
K3,external threat narrative,-8.8,"Alarm pheromones trigger rapid, colony-wide defensive responses to intruders."
L1,succession mechanism,-5.8,"Queen replacement is limited; most monogynous colonies decline on queen death, though some have regulated polygyne mechanisms."
L2,leadership cult,-8.8,"Queen pheromones centralize reproductive control and worker orientation, akin to functional monopoly."
L3,purge cycles,-7.3,"Ongoing policing removes cheaters; seasonal purges of males or surplus reproductives occur in some species."
M1,natalism,-9.5,"Queen fecundity drives colony growth; all energy prioritizes brood production and replacement."
M2,migration control,-9.0,"Dispersal is tightly regulated; nuptial flights are consensus-gated, workers non-migratory."
M3,ethnic policy,-9.5,"Chemical nestmate recognition enforces absolute discrimination against non-kin."
