Metric,Description,Score,Rationale
A1,Property,-10,"Complete state ownership of means of production and land post-collectivization; private property effectively abolished."
A2,Market allocation,-10,"Gosplan central planning dictated all allocation, prices, production; no market mechanisms dominant in 1937."
A3,Profit motive,-10,"Enterprises driven by planned targets and quotas, not profit; profit motive suppressed under Stalinist command economy."
B1,Redistribution,-10,"Extreme state-controlled redistribution; resources allocated bureaucratically with favoritism to party elite."
B2,Welfare,-8,"Universal nominal access to healthcare/education/employment; severe shortages and privilege-based access reduced effectiveness."
C1,Heredity fidelity,-6,"Ideological heredity enforced via party and Komsomol; limited practical variation tolerated if non-threatening."
C2,Variation,-9,"Minimal economic/political experimentation; Five-Year Plans enforced uniformity."
C3,Persistence,-7,"High institutional persistence through terror and party monopoly in 1937 peak."
D1,Parasitism,-8,"Nomenklatura privileges and informal corruption widespread; bureaucratic rent-seeking high despite purges."
D2,Competition,-9,"State monopolies and quotas eliminated true competition."
E1,Survival,-6,"System endured intense stresses (famine, purges); short-term viability but long-term strains evident."
E2,Niche construction,-7,"Industrialization created superpower niche; at massive human/environmental cost."
F1,Boundary,-9,"Iron Curtain precursors and strict internal controls; limited external openness."
F2,Error repair,-9,"Central planning rigid; feedback loops suppressed by terror."
G1,Cheater detection,-8,"Denunciation and NKVD quotas weaponized; false positives common, genuine economic cheating persisted."
G2,Modularity,-9,"Highly centralized monolithic structure; little decentralized adaptation."
G3,Info storage,-7,"Party archives centralized; heavily distorted by ideology and fear."
H1,Cultural uniformity,9,"Socialist realism and state media enforced high uniformity."
H2,Ideological monopoly,10,"Marxism-Leninism-Stalinism absolute; dissent equated to treason."
H3,Dissent suppression,10,"Great Purge at peak; mass arrests/executions via NKVD."
I1,Family autonomy,-8,"State promoted collective child-rearing; family intervened for loyalty."
I2,Religious freedom,-10,"Atheism state policy; churches closed, clergy persecuted."
I3,Artistic expression,-9,"Art required to serve party line; non-conformists repressed."
J1,Scientific direction,-8,"Science subordinated to state priorities (e.g., Lysenkoism dominant)."
J2,Education indoctrination,10,"Marxist-Leninist indoctrination from kindergarten upward."
J3,Media control,10,"Complete state monopoly; Pravda/TASS as propaganda organs."
K1,Military priority,9,"Massive military buildup prioritized over consumer needs."
K2,Isolationism,8,"High isolation via borders and suspicion of foreigners."
K3,External threat narrative,9,"Capitalist encirclement narrative justified purges and controls."
L1,Succession mechanism,-9,"No democratic process; elite selection via purges and terror."
L2,Leadership cult,10,"Stalin cult at maximum; infallibility propagated."
L3,Purge cycles,10,"Great Purge in full swing; violent elite turnover routine."
M1,Natalism,-4,"Inconsistent; some pro-natal pushes but war losses dominated."
M2,Migration control,10,"Strict internal passports and border controls."
M3,Ethnic policy,-7,"Russification policies and deportations of suspect groups."
