Metric,Description,Score,Rationale
A1,"property",7.5,"Venice enforced strong commercial property rights through courts, guilds, and commenda contracts, protecting merchant capital and enabling trade dominance."
A2,"market allocation",6.8,"Trade was largely market-driven via Rialto and private contracts, with state oversight on strategic goods like salt and Arsenal procurement."
A3,"profit motive",8.8,"Core mercantilist ethos centered on profit-seeking in maritime commerce, banking, and Arsenal production as the primary state objective."
B1,"redistribution",-3.0,"Progressive taxes and confraternities provided limited redistribution for public works; not systematic egalitarian leveling."
B2,"welfare",-2.8,"Scuole offered modest safety nets for poverty and health, mediated through guilds and religious institutions rather than centralized state systems."
C1,"heredity fidelity (copying accuracy)",3.8,"Serrata (1297) and Libro d'Oro locked patrician status by bloodline, ensuring high continuity with occasional additions for variation."
C2,"variation",3.0,"Political mobility restricted post-Serrata; economic and cultural variation tolerated among merchants and foreigners."
C3,"persistence of variants under selection",6.8,"Successful merchant families and lineages persisted across generations through market success and institutional stability."
D1,"parasitism tolerance / exploitation prevalence",12.0,"Pre-Serrata drift allowed higher tolerance for internal rent-seeking and factional exploitation (delta +11.7 from baseline)"
D2,"competition intensity & zero-sum dynamics",7.3,"Intense internal factional and external rivalries (Genoa, Ottomans) regulated to prevent collapse while driving economic vitality."
E1,"survival",8.3,"Exceptional institutional longevity (~1,100 years) through adaptive diplomacy, naval power, and resilience to threats."
E2,"niche construction & colonization capability",8.8,"Engineered lagoon defenses, Arsenal, and colonial trade outposts created a dominant maritime-commercial niche."
F1,"boundary maintenance & identity defense",8.0,"Strict citizenship laws, lagoon geography, naval defenses, and intelligence protected systemic boundaries."
F2,"error detection & repair efficiency",6.8,"Overlapping councils, rotations, and Inquisitori corrected governance errors and conspiracies efficiently."
G1,"cheater detection mechanisms",2.0,"Pre-Serrata drift weakened detection; lower fidelity in identifying threats (delta -6 from baseline)"
G2,"modularity & hierarchical sub-unit stability",6.5,"Layered councils and compartmentalized bureaucracy created distributed modules reducing systemic fragility."
G3,"information storage separated from execution",8.0,"Meticulous archives, diplomatic reports, and bookkeeping preserved administrative and institutional memory."
H1,"cultural uniformity pressure",-1.3,"Unified Venetian civic identity cultivated via myths and rituals, but cosmopolitan trade tolerated diversity."
H2,"ideological monopoly strength",-3.3,"Pragmatic state supremacy over Church and Papacy; balanced orthodoxy without strict monopoly."
H3,"dissent suppression intensity",-5.3,"Council of Ten constrained dissent via exile/execution; surgical suppression of threats to oligarchy."
I1,"family autonomy & kinship structures",4.5,"Patrician families retained autonomy in economic/domestic affairs, with state oversight on political matters."
I2,"religious freedom & pluralism",4.3,"Tolerated Jewish ghettos and foreign faiths for commerce; pragmatic tolerance defying some papal demands."
I3,"artistic expression & creative liberty",6.0,"Renaissance/Baroque hub patronized by state; limited censorship fostered creative flourishing."
J1,"scientific direction & funding independence",2.8,"Practical sciences (cartography, hydrodynamics) supported via guilds/Arsenal; no centralized planning."
J2,"education system indoctrination level",-2.5,"Civic and vocational training reinforced loyalty; lacked systematic ideological indoctrination."
J3,"media control & narrative monopoly",-3.5,"Licensed printing with censorship; became early publishing center with relatively open circulation."
K1,"military priority & resource allocation",6.8,"Arsenal and navy heavily invested for commercial security; military instrumental to trade."
K2,"isolationism vs. openness",-2.8,"Hyper-engaged in trade/diplomacy; isolation defensive only in crises."
K3,"external threat narrative dominance",4.5,"Leveraged Ottoman/Genoese rivalries to unify internals and justify mobilizations."
L1,"succession mechanism predictability",0.0,"Pre-Serrata drift allowed more factional capture in elections (delta -5 from baseline)"
L2,"leadership cult / personality centrality",-8.0,"Pre-Serrata drift permitted stronger personality influence (delta -5 from baseline)"
L3,"purge cycles & elite turnover violence",4.2,"Pre-Serrata drift increased purge risk from factions (delta +5 from baseline)"
M1,"natalism policies & fertility incentives",-1.0,"Encouraged noble continuity; no aggressive state pro-natalism despite demographic issues."
M2,"migration control strictness",1.3,"Tightly regulated citizenship/residency; selective admission for trade benefits."
M3,"ethnic / identity policy framing",3.8,"Pragmatic multi-ethnic integration in empire; privileged Venetians while allowing enclaves."
